query_id	hit_id	cobertura_query	cobertura_hit	porcentaje_identidad
VFG037170(gb|WP_001081754)	0	0.0	0.0	0.0
VFG037177(gb|WP_000632986)	0	0.0	0.0	0.0
VFG037172(gb|WP_001081748)	0	0.0	0.0	0.0
VFG037173(gb|WP_000633004)	0	0.0	0.0	0.0
VFG037176(gb|WP_001081735)	0	0.0	0.0	0.0
VFG037178(gb|YP_001083140)	0	0.0	0.0	0.0
VFG037179(gb|YP_001085084)	0	0.0	0.0	0.0
VFG037182(gb|WP_001081755)	0	0.0	0.0	0.0
VFG037184(gb|WP_001081758)	0	0.0	0.0	0.0
VFG037185(gb|WP_020753227)	0	0.0	0.0	0.0
VFG037186(gb|WP_001081765)	0	0.0	0.0	0.0
VFG037188(gb|WP_001081762)	0	0.0	0.0	0.0
VFG037189(gb|WP_000632992)	0	0.0	0.0	0.0
VFG037194(gb|WP_001081740)	0	0.0	0.0	0.0
VFG037195(gb|WP_000633005)	0	0.0	0.0	0.0
VFG037196(gb|YP_005796961)	0	0.0	0.0	0.0
VFG037198(gb|WP_001081736)	0	0.0	0.0	0.0
VFG037203(gb|WP_000079188)	NC_002745.2_prot_WP_000571549.1_2043	72.82809611829944	79.75708502024291	20.558375634517766
VFG037203(gb|WP_000079188)	NC_002745.2_prot_WP_001270822.1_1239	73.93715341959334	81.13590263691684	21.25
VFG037201(gb|WP_000079186)	NC_002745.2_prot_WP_000571549.1_2043	72.82809611829944	79.75708502024291	20.558375634517766
VFG037201(gb|WP_000079186)	NC_002745.2_prot_WP_001270822.1_1239	73.93715341959334	81.13590263691684	21.25
VFG037204(gb|YP_001085994)	0	0.0	0.0	0.0
VFG037209(gb|WP_000079185)	NC_002745.2_prot_WP_000571549.1_2043	72.82809611829944	79.75708502024291	20.558375634517766
VFG037209(gb|WP_000079185)	NC_002745.2_prot_WP_001270822.1_1239	73.93715341959334	81.13590263691684	21.25
VFG037212(gb|WP_000079187)	NC_002745.2_prot_WP_000571549.1_2043	72.82809611829944	79.75708502024291	21.31979695431472
VFG037212(gb|WP_000079187)	NC_002745.2_prot_WP_001270822.1_1239	73.93715341959334	81.13590263691684	21.25
VFG037218(gb|WP_000983821)	0	0.0	0.0	0.0
VFG037216(gb|WP_000983826)	0	0.0	0.0	0.0
VFG037219(gb|YP_001085393)	0	0.0	0.0	0.0
VFG037222(gb|WP_000983827)	0	0.0	0.0	0.0
VFG037224(gb|WP_000983828)	0	0.0	0.0	0.0
VFG037232(gb|WP_001093095)	0	0.0	0.0	0.0
VFG037230(gb|WP_001093105)	0	0.0	0.0	0.0
VFG037233(gb|YP_001085394)	0	0.0	0.0	0.0
VFG037236(gb|WP_001093099)	0	0.0	0.0	0.0
VFG037238(gb|WP_001093106)	0	0.0	0.0	0.0
VFG037243(gb|WP_001032913)	0	0.0	0.0	0.0
VFG037244(gb|WP_001032905)	0	0.0	0.0	0.0
VFG037246(gb|WP_001032906)	0	0.0	0.0	0.0
VFG037247(gb|YP_001085395)	0	0.0	0.0	0.0
VFG037250(gb|WP_020753355)	0	0.0	0.0	0.0
VFG037252(gb|WP_001032911)	0	0.0	0.0	0.0
VFG037255(gb|YP_005799703)	0	0.0	0.0	0.0
VFG037260(gb|WP_001095752)	NC_002745.2_prot_WP_000486487.1_2400	84.7457627118644	77.9896013864818	27.77777777777778
VFG037258(gb|WP_001090101)	NC_002745.2_prot_WP_000486487.1_2400	84.7457627118644	77.9896013864818	27.555555555555557
VFG037261(gb|YP_001085396)	NC_002745.2_prot_WP_000486487.1_2400	96.98275862068965	77.9896013864818	28.000000000000004
VFG037261(gb|YP_001085396)	NC_002745.2_prot_WP_001064825.1_2401	75.64655172413794	59.79557069846678	31.339031339031337
VFG037261(gb|YP_001085396)	NC_002745.2_prot_WP_000597238.1_1804	100.43103448275863	80.62283737024222	31.115879828326182
VFG037264(gb|WP_020753356)	NC_002745.2_prot_WP_000486487.1_2400	84.7457627118644	77.9896013864818	27.555555555555557
VFG037266(gb|WP_001090102)	NC_002745.2_prot_WP_001064825.1_2401	91.52542372881356	82.793867120954	26.954732510288064
VFG037266(gb|WP_001090102)	NC_002745.2_prot_WP_000486487.1_2400	84.7457627118644	77.9896013864818	27.111111111111114
VFG037272(gb|WP_001281555)	NC_002745.2_prot_WP_001064825.1_2401	98.88059701492537	90.28960817717207	25.28301886792453
VFG037272(gb|WP_001281555)	NC_002745.2_prot_WP_000486487.1_2400	101.86567164179105	94.62738301559793	21.611721611721613
VFG037272(gb|WP_001281555)	NC_002745.2_prot_WP_000817954.1_631	88.61940298507463	82.6086956521739	22.736842105263158
VFG037272(gb|WP_001281555)	NC_002745.2_prot_WP_000737162.1_673	77.05223880597015	76.05893186003682	19.128329297820823
VFG037273(gb|WP_001281554)	NC_002745.2_prot_WP_001064825.1_2401	98.88059701492537	90.28960817717207	25.28301886792453
VFG037273(gb|WP_001281554)	NC_002745.2_prot_WP_000486487.1_2400	101.86567164179105	94.62738301559793	21.428571428571427
VFG037273(gb|WP_001281554)	NC_002745.2_prot_WP_000817954.1_631	88.61940298507463	82.6086956521739	22.736842105263158
